# source=pairwise_intervals bin_width=0.050 n_pairs=276
bin_center,count,frac
0.0250,85.000000,0.307971
0.0750,0.000000,0.000000
0.1250,0.000000,0.000000
0.1750,0.000000,0.000000
0.2250,0.000000,0.000000
0.2750,0.000000,0.000000
0.3250,0.000000,0.000000
0.3750,0.000000,0.000000
0.4250,0.000000,0.000000
0.4750,0.000000,0.000000
0.5250,0.000000,0.000000
0.5750,0.000000,0.000000
0.6250,0.000000,0.000000
0.6750,0.000000,0.000000
0.7250,0.000000,0.000000
0.7750,0.000000,0.000000
0.8250,0.000000,0.000000
0.8750,0.000000,0.000000
0.9250,0.000000,0.000000
0.9750,0.000000,0.000000
1.0250,0.000000,0.000000
1.0750,0.000000,0.000000
1.1250,0.000000,0.000000
1.1750,0.000000,0.000000
1.2250,0.000000,0.000000
1.2750,0.000000,0.000000
1.3250,0.000000,0.000000
1.3750,0.000000,0.000000
1.4250,0.000000,0.000000
1.4750,0.000000,0.000000
1.5250,0.000000,0.000000
1.5750,0.000000,0.000000
1.6250,0.000000,0.000000
1.6750,0.000000,0.000000
1.7250,0.000000,0.000000
1.7750,0.000000,0.000000
1.8250,0.000000,0.000000
1.8750,0.000000,0.000000
1.9250,0.000000,0.000000
1.9750,0.000000,0.000000
2.0250,24.000000,0.086957
2.0750,0.000000,0.000000
2.1250,0.000000,0.000000
2.1750,0.000000,0.000000
2.2250,0.000000,0.000000
2.2750,0.000000,0.000000
2.3250,0.000000,0.000000
2.3750,0.000000,0.000000
2.4250,0.000000,0.000000
2.4750,0.000000,0.000000
2.5250,0.000000,0.000000
2.5750,0.000000,0.000000
2.6250,0.000000,0.000000
2.6750,0.000000,0.000000
2.7250,0.000000,0.000000
2.7750,0.000000,0.000000
2.8250,0.000000,0.000000
2.8750,0.000000,0.000000
2.9250,0.000000,0.000000
2.9750,0.000000,0.000000
3.0250,0.000000,0.000000
3.0750,0.000000,0.000000
3.1250,6.000000,0.021739
3.1750,0.000000,0.000000
3.2250,0.000000,0.000000
3.2750,0.000000,0.000000
3.3250,0.000000,0.000000
3.3750,0.000000,0.000000
3.4250,0.000000,0.000000
3.4750,0.000000,0.000000
3.5250,0.000000,0.000000
3.5750,0.000000,0.000000
3.6250,0.000000,0.000000
3.6750,0.000000,0.000000
3.7250,0.000000,0.000000
3.7750,0.000000,0.000000
3.8250,0.000000,0.000000
3.8750,9.000000,0.032609
3.9250,0.000000,0.000000
3.9750,0.000000,0.000000
4.0250,0.000000,0.000000
4.0750,0.000000,0.000000
4.1250,0.000000,0.000000
4.1750,0.000000,0.000000
4.2250,0.000000,0.000000
4.2750,0.000000,0.000000
4.3250,0.000000,0.000000
4.3750,0.000000,0.000000
4.4250,0.000000,0.000000
4.4750,0.000000,0.000000
4.5250,0.000000,0.000000
4.5750,0.000000,0.000000
4.6250,0.000000,0.000000
4.6750,0.000000,0.000000
4.7250,0.000000,0.000000
4.7750,0.000000,0.000000
4.8250,0.000000,0.000000
4.8750,0.000000,0.000000
4.9250,0.000000,0.000000
4.9750,31.000000,0.112319
5.0250,0.000000,0.000000
5.0750,0.000000,0.000000
5.1250,0.000000,0.000000
5.1750,0.000000,0.000000
5.2250,0.000000,0.000000
5.2750,0.000000,0.000000
5.3250,0.000000,0.000000
5.3750,0.000000,0.000000
5.4250,0.000000,0.000000
5.4750,0.000000,0.000000
5.5250,0.000000,0.000000
5.5750,0.000000,0.000000
5.6250,0.000000,0.000000
5.6750,0.000000,0.000000
5.7250,0.000000,0.000000
5.7750,0.000000,0.000000
5.8250,0.000000,0.000000
5.8750,0.000000,0.000000
5.9250,0.000000,0.000000
5.9750,0.000000,0.000000
6.0250,0.000000,0.000000
6.0750,0.000000,0.000000
6.1250,0.000000,0.000000
6.1750,0.000000,0.000000
6.2250,0.000000,0.000000
6.2750,0.000000,0.000000
6.3250,0.000000,0.000000
6.3750,0.000000,0.000000
6.4250,0.000000,0.000000
6.4750,0.000000,0.000000
6.5250,0.000000,0.000000
6.5750,0.000000,0.000000
6.6250,0.000000,0.000000
6.6750,0.000000,0.000000
6.7250,0.000000,0.000000
6.7750,0.000000,0.000000
6.8250,0.000000,0.000000
6.8750,0.000000,0.000000
6.9250,0.000000,0.000000
6.9750,0.000000,0.000000
7.0250,101.000000,0.365942
7.0750,0.000000,0.000000
7.1250,0.000000,0.000000
7.1750,0.000000,0.000000
7.2250,0.000000,0.000000
7.2750,0.000000,0.000000
7.3250,0.000000,0.000000
7.3750,0.000000,0.000000
7.4250,0.000000,0.000000
7.4750,0.000000,0.000000
7.5250,0.000000,0.000000
7.5750,0.000000,0.000000
7.6250,0.000000,0.000000
7.6750,0.000000,0.000000
7.7250,0.000000,0.000000
7.7750,0.000000,0.000000
7.8250,0.000000,0.000000
7.8750,0.000000,0.000000
7.9250,0.000000,0.000000
7.9750,0.000000,0.000000
8.0250,0.000000,0.000000
8.0750,0.000000,0.000000
8.1250,3.000000,0.010870
8.1750,0.000000,0.000000
8.2250,0.000000,0.000000
8.2750,0.000000,0.000000
8.3250,0.000000,0.000000
8.3750,0.000000,0.000000
8.4250,0.000000,0.000000
8.4750,0.000000,0.000000
8.5250,0.000000,0.000000
8.5750,0.000000,0.000000
8.6250,0.000000,0.000000
8.6750,0.000000,0.000000
8.7250,0.000000,0.000000
8.7750,0.000000,0.000000
8.8250,0.000000,0.000000
8.8750,2.000000,0.007246
8.9250,0.000000,0.000000
8.9750,0.000000,0.000000
9.0250,0.000000,0.000000
9.0750,0.000000,0.000000
9.1250,0.000000,0.000000
9.1750,0.000000,0.000000
9.2250,0.000000,0.000000
9.2750,0.000000,0.000000
9.3250,0.000000,0.000000
9.3750,0.000000,0.000000
9.4250,0.000000,0.000000
9.4750,0.000000,0.000000
9.5250,0.000000,0.000000
9.5750,0.000000,0.000000
9.6250,0.000000,0.000000
9.6750,0.000000,0.000000
9.7250,0.000000,0.000000
9.7750,0.000000,0.000000
9.8250,0.000000,0.000000
9.8750,0.000000,0.000000
9.9250,0.000000,0.000000
9.9750,0.000000,0.000000
10.0250,0.000000,0.000000
10.0750,0.000000,0.000000
10.1250,0.000000,0.000000
10.1750,0.000000,0.000000
10.2250,0.000000,0.000000
10.2750,0.000000,0.000000
10.3250,0.000000,0.000000
10.3750,0.000000,0.000000
10.4250,0.000000,0.000000
10.4750,0.000000,0.000000
10.5250,0.000000,0.000000
10.5750,0.000000,0.000000
10.6250,0.000000,0.000000
10.6750,0.000000,0.000000
10.7250,0.000000,0.000000
10.7750,0.000000,0.000000
10.8250,0.000000,0.000000
10.8750,3.000000,0.010870
10.9250,0.000000,0.000000
10.9750,0.000000,0.000000
11.0250,0.000000,0.000000
11.0750,0.000000,0.000000
11.1250,0.000000,0.000000
11.1750,0.000000,0.000000
11.2250,0.000000,0.000000
11.2750,0.000000,0.000000
11.3250,0.000000,0.000000
11.3750,0.000000,0.000000
11.4250,0.000000,0.000000
11.4750,0.000000,0.000000
11.5250,0.000000,0.000000
11.5750,0.000000,0.000000
11.6250,0.000000,0.000000
11.6750,0.000000,0.000000
11.7250,0.000000,0.000000
11.7750,0.000000,0.000000
11.8250,0.000000,0.000000
11.8750,0.000000,0.000000
11.9250,0.000000,0.000000
11.9750,12.000000,0.043478
